Ignore mouse detection:
[[Overwatch.exe!0x29962b0] + 0x1c8] + 0x13

Overwatch.exe!0x2cef4e0 "AcceptsTab"
* `"\tDestroying queued shaders"`
* `"\tID3D11DeviceContext::ClearState()"`
* `"\tID3D11DeviceContext::Flush()"`
* `"\tProcessed queued resource destruction"`
* `"\tReleased Vertex Formats"`
* `"\tReleased all state blocks"`
* `"\tReleased null buffer"`
* `"\tReset Device Settings Cache"`
* `"\n"`
* `"\n-----------------\n\n"`
* `"\nAchievements:"`
* `"\nHero Stats"`
* `"\nPlayers:\n"`
* `"\nSection"`
* `"\nServer view: party %s"`
* `"\nStats for Hero: %s (0x%016llx)"`
* `"\nStats for Hero: (0x%016llx)"`
* `"\nStats for Map: (0x%016llx)"`
* `"\nStats for context: %d"`
* `"\nWarning: This path is not guaranteed to be valid more than 2 weeks following bug creation.\nFull Dump Path: \\\\%s\\%s\n"`
* `"\u{c}`�2�M"`
* `" "`
* `"                             SYSTEM INFO                           \n"`
* `"                            GAME STATE                             \n"`
* `"                          APPLICATION STATE                        \n"`
* `"      AVG:  %3d  %3d  %3d  %3d"`
* `"      MAX:  %3d  %3d  %3d  %3d"`
* `"    %s"`
* `"    Bucket type: %s"`
* `"    Map guid: %016llx"`
* `"    Map name: %s"`
* `"    Match: %u"`
* `"    Population: %s"`
* `"    Previous winner: %d"`
* `"    Server: %s"`
* `"    State: %s"`
* `"    Summed Rating Value: %.3f"`
* `"    Total groups: %u"`
* `"    Wins / Matches: %u / %u"`
* `"   G: %5.1f, %5.1f, %5.1f, %4.1f"`
* `"   R: %5.1f, %5.1f, %5.1f, %4.1f"`
* `"   S: %5.1f, %5.1f, %5.1f, %4.1f"`
* `"  %s"`
* `"  (...and more)"`
* `"  Team: %u (%u members)"`
* `"  Team: Unassigned"`
* `"  Tourny Name: %s, eSports Tourny ID: %d, eSports MatchID: %d, Ready To Play: %s"`
* `"  clnt"`
* `" %s 0x%p%s"`
* `" -attachment \"%s\""`
* `" FPS"`
* `" Game?"`
* `" NTSTATUS = %x"`
* `" Tank?"`
* `" Version %u"`
* `" [%s]: "`
* `"!!UNKNOWN ACHIEVEMENT!!"`
* `"!!UNKNOWN STAT!!"`
* `"!!UNKNOWN!!"`
* `"\"%s\""`
* `"\"%s\" %s"`
* `"\"%s\" %s %s %s %s"`
* `"\"%s\": "`
* `"\"%s\": \"%s\""`
* `"\"0x%016llx\""`
* `"\"0x%08x\""`
* `"\"0x%llx:0x%llx\""`
* `"#"`
* `"##Output"`
* `"#= VoiceClient: %s (id = %d) :- [%d] %s %s"`
* `"#= VoiceClient: + Activated channel %d"`
* `"#= VoiceClient: + Active %s %s"`
* `"#= VoiceClient: + Active %s device changed (%s) -> (%s)"`
* `"#= VoiceClient: + Active %s volume %d"`
* `"#= VoiceClient: + Active user changed %d -> %d"`
* `"#= VoiceClient: + Available %s list changed to %d devices"`
* `"#= VoiceClient: + Canceled join channel %d(%s)"`
* `"#= VoiceClient: + Channel %d %s -> %s"`
* `"#= VoiceClient: + Channel %d PTT (%s) -> (%s)"`
* `"#= VoiceClient: + Channel %d active %d -> %d"`
* `"#= VoiceClient: + Channel %d added member (%s)"`
* `"#= VoiceClient: + Channel %d display name (%s) -> (%s)"`
* `"#= VoiceClient: + Channel %d volume %d -> %d"`
* `"#= VoiceClient: + Channel removed %d(%s)"`
* `"#= VoiceClient: + Creating %s channel %d(%s)"`
* `"#= VoiceClient: + Deactivated channel %d"`
* `"#= VoiceClient: + Found capture device %s"`
* `"#= VoiceClient: + Found device %s"`
* `"#= VoiceClient: + Found render device %s"`
* `"#= VoiceClient: + Joined channel %d(%s)"`
* `"#= VoiceClient: + Login credentials created for %s"`
* `"#= VoiceClient: + Login requested for %s"`
* `"#= VoiceClient: + Member %s active %d -> %d"`
* `"#= VoiceClient: + Member %s display name %s -> %s"`
* `"#= VoiceClient: + Member %s muted for all %d -> %d"`
* `"#= VoiceClient: + Member %s muted for me %d -> %d"`
* `"#= VoiceClient: + Process added %s (%d)"`
* `"#= VoiceClient: + Request leave channel %d(%s)"`
* `"#= VoiceClient: + Starting devices"`
* `"#= VoiceClient: ============================Startup============================"`
* `"#= VoiceClient: Auto-Join Enabled Flags %04x -> %04x"`
* `"#= VoiceClient: ChatSystem leaving PARTY channel: %s"`
* `"#= VoiceClient: ChatSystem leaving TEAM channel: %s"`
* `"#= VoiceClient: ChatSystem removing MATCH channel: %s"`
* `"#= VoiceClient: ChatSystem removing PARTY channel: %s"`
* `"#= VoiceClient: ChatSystem removing TEAM channel: %s"`
* `"#= VoiceClient: ChatSystem switching to new MATCH channel: %s"`
* `"#= VoiceClient: ChatSystem switching to new PARTY channel: %s"`
* `"#= VoiceClient: ChatSystem switching to new TEAM channel: %s"`
* `"#= VoiceClient: ERROR:%d : %s (%s) : %s\n"`
* `"#= VoiceClient: ERROR:%d : %s : %s\n"`
* `"#= VoiceClient: ERROR:+ Cannot set active %s to unknown device %s"`
* `"#= VoiceClient: ERROR:+ Channel %d not found for member %s request %s"`
* `"#= VoiceClient: ERROR:Attempted to retry an unexpected request. \"%s\""`
* `"#= VoiceClient: ERROR:Failed to leave channel %d with error %d(%d)"`
* `"#= VoiceClient: ERROR:Failed to set %s field %s with error %d(%d)"`
* `"#= VoiceClient: ERROR:Hit max retries for %s, id = %d"`
* `"#= VoiceClient: ERROR:Retrying connector create after %.2f seconds"`
* `"#= VoiceClient: ERROR:Retrying log in after %.2f seconds"`
* `"#= VoiceClient: ERROR:Retrying request \"%s\" in %.2f seconds"`
* `"#= VoiceClient: RequestLeaveChannel -> %s from %s"`
* `"#= VoiceClient: Retry successful for %s, id = %d"`
* `"#= VoiceClient: State -> %s"`
* `"#= VoiceClient: __SetTargetActiveChannelType(%s -> %s) : %d"`
* `"#Ҁ瞘MXB�\u{f10e}N\u{1d}\u{18}��牖M\u{c}C"`
* `"$\u{14}�\u{b}�"`
* `"%.2f"`
* `"%.3f"`
* `"%.4f"`
* `"%00i:%00i:%00i%s"`
* `"%016llx"`
* `"%016llx:%016llx"`
* `"%02X%02X%02X%02X%02X%02X%02X%02X%02X%02X%02X%02X%02X%02X%02X%02X"`
* `"%02d-%02d-%02d_%02d.%02d.%02d"`
* `"%4.0f"`
* `"%4d"`
* `"%I64u,%f,%f,%f,%f%s"`
* `"%c%c  --%s%s%s\n"`
* `"%cE:{%08X}"`
* `"%d"`
* `"%d : %s (%s) : %s\n"`
* `"%d : %s : %s\n"`
* `"%d%s"`
* `"%d.%d.%d.%d"`
* `"%d:%02d"`
* `"%f"`
* `"%f%%"`
* `"%g"`
* `"%g:%g:%g"`
* `"%g:%g:%g:%g"`
* `"%i\n"`
* `"%lld"`
* `"%llu"`
* `"%ls\n"`
* `"%s"`
* `"%s\n"`
* `"%s\n\n"`
* `"%s "`
* `"%s #%u"`
* `"%s %s"`
* `"%s (%s)"`
* `"%s (0x%016llx)"`
* `"%s (0x%016llx), time: %s"`
* `"%s (0xE0%02X0%02X0)\n"`
* `"%s ERROR: 0x%016llX"`
* `"%s Error code: %d "`
* `"%s [%s]:"`
* `"%s%s"`
* `"%s%s = \"%s\"%s\r\n"`
* `"%s(%d) %s"`
* `"%s(%d) : Assertion failed: %s  \"%s\""`
* `"%s(%u): %s(): [%s] %s"`
* `"%s."`
* `"%s.%d"`
* `"%s.%s.%s%s:"`
* `"%s/%s"`
* `"%s/%s/CrashMailer_%s.exe \"%s\""`
* `"%s/CCS"`
* `"%s/Cache/Shaders/"`
* `"%s/ErrorReporting"`
* `"%s/Settings/%s.ini"`
* `"%s/cache"`
* `"%s/data"`
* `"%s/x64/Symbolizer.exe"`
* `"%s: "`
* `"%s: %-3d %s"`
* `"%s: %f"`
* `"%s: %s\n"`
* `"%s: pending writes exceeded\n"`
* `"%s:%d"`
* `"%s:%u"`
* `"%s[%s.%d]%s\r\n"`
* `"%s[%s]"`
* `"%s\\*.*"`
* `"%s\\Logs"`
* `"%s\\Overwatch"`
* `"%s_%d_%s%s"`
* `"%u"`
* `"%u.%u"`
* `"%x"`
* `"&"`
* `"\'%S\'%s"`
* `"(m_instanceID: %d) (m_timestamp: %d) (SetVar) (guid: %04x) (val: %s)"`
* `"(null)"`
* `"*"`
* `"*** Bad UI render transform detected! ***\n"`
* `"*** Transform dump from element to root of visual tree: ***\n"`
* `"****** Logging runaway script %016llx ******"`
* `"**Crashing Thread**"`
* `"+"`
* `","`
* `", "`
* `", %s (0x%016llx)"`
* `",#~1\u{18}|\u{13}�\u{f}#*/\u{b}tE�*&?m"`
* `",%x"`
* `"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -"`
* `"---"`
* `"-------------------------------------------------------------------\n"`
* `"-------------------------------------------------------------------\n                                ERROR                              \n-------------------------------------------------------------------\n"`
* `"-------------------------------------------------------------------\n                               MODULES                             \n-------------------------------------------------------------------\n"`
* `"-------------------------------------------------------------------\n                              BUG DATA                             \n-------------------------------------------------------------------\n"`
* `"-------------------------------------------------------------------\n                             STACK TRACE                           \n-------------------------------------------------------------------\n"`
* `"------------------------------------------------------------------------\n"`
* `"----------POSSIBLE OPTIONS----------------------------------------------\n"`
* `"-auto"`
* `"-savereport"`
* `"."`
* `".."`
* `"..."`
* `".apm"`
* `".bin"`
* `".build.info"`
* `".cmf"`
* `".mp4"`
* `".webm"`
* `"/"`
* `"/ScreenShots/"`
* `"0"`
* `"0.0.0.0:0"`
* `"0x%016llX"`
* `"0x%016llx"`
* `"0x%016llx,%f,%f,%f,%f"`
* `"0x%016llx: %f"`
* `"0x%08x"`
* `"0x%I64X"`
* `"0x%llx:0x%llx"`
* `"1"`
* `"1 - Critical Impact"`
* `"1.0"`
* `"1.35.0.1"`
* `"15.200.1062.1004"`
* `"1point1"`
* `"20140913000000.000000-000"`
* `"20150407000000.000000-000"`
* `"20170922000000.000000-000"`
* `"20180000000000.000000-000"`
* `"2point1"`
* `"3 - Medium"`
* `"3 - Moderate Impact"`
* `"32-bit"`
* `"3point0"`
* `"3point1"`
* `"4 - Low"`
* `"4point0"`
* `"4point1"`
* `"5point0"`
* `"5point1"`
* `"5��/��y.%��8�2;\u{6}��"`
* `"64"`
* `"64-bit"`
* `"7point1"`
* `":"`
* `":%u"`
* `"<:Inspector.Assertion>\n\n"`
* `"<:Inspector.Assignments>\n\n"`
* `"<:Inspector.Comments>\n\n"`
* `"<:Inspector.DebugModules>\n\n"`
* `"<:Inspector.Steps>\n\n"`
* `"<Active_GPUs> %u\n\n"`
* `"<Active_GPUs> 0\n\n"`
* `"<Branch> %s\n\n"`
* `"<CPU_Cores> %u\n\n"`
* `"<CPU_Details> %s\n\n"`
* `"<CPU_Processors> %u\n\n"`
* `"<CPU_Threads> %u\n\n"`
* `"<Executable> %s\n\n"`
* `"<INVALID>"`
* `"<Inspector.Assertion:>\n"`
* `"<Inspector.Assignments:>\n"`
* `"<Inspector.BuildNumber> %d\n\n"`
* `"<Inspector.Comments:>\n"`
* `"<Inspector.DebugModules:>\n"`
* `"<Inspector.Field4> %s\n\n"`
* `"<Inspector.HashBlock:>\n"`
* `"<Inspector.IssueType> %s\n\n"`
* `"<Inspector.PrimaryAssignment> %s\n\n"`
* `"<Inspector.Priority> %s\n\n"`
* `"<Inspector.ProjectId> %d\n\n"`
* `"<Inspector.Steps:>\n\n"`
* `"<Inspector.Summary:>\n%s - %s: %s\n<:Inspector.Summary>\n\n"`
* `"<Operating_System> %s\n\n"`
* `"<Region> %s\n\n"`
* `"<SoundDriver_Device> %s\n"`
* `"<SoundDriver_Version> %s\n"`
* `"<Video_Card> %s\n\n"`
* `"<Video_Card> [NONE]\n\n"`
* `"<Video_Driver_Version> %s\n\n"`
* `"<Video_Driver_Version> [NONE]\n\n"`
* `"<Video_Memory> %u MB\n\n"`
* `"<Video_Memory> 0 MB\n\n"`
* `"<Video_Memory_Allocated> %u MB\n\n"`
* `"<Video_Memory_Allocated> 0 MB\n\n"`
* `"<fg%02x%02x%02xFF>"`
* `"<unknown>"`
* `">: "`
* `"??"`
* `"???"`
* `"?GFSDK_Aftermath_DX11_GetData@@YA?AW4GFSDK_Aftermath_Result@@IPEBQEAUID3D11DeviceContext@@PEAUGFSDK_Aftermath_ContextData@@PEAW4GFSDK_Aftermath_Status@@@Z"`
* `"?GFSDK_Aftermath_DX11_Initialize@@YA?AW4GFSDK_Aftermath_Result@@W4GFSDK_Aftermath_Version@@QEAUID3D11Device@@@Z"`
* `"?GFSDK_Aftermath_DX11_SetEventMarker@@YA?AW4GFSDK_Aftermath_Result@@QEAUID3D11DeviceContext@@PEAXI@Z"`
* `"@"`
* `"A Console Command Shortcut. Any args passed to this command go to the first command executed by this shortcut.\n\nCommands:\n"`
* `"AADetail"`
* `"AB After Post"`
* `"ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/"`
* `"ACCOUNT_BANNED"`
* `"ADL2_Adapter_Primary_Get"`
* `"ADL2_ApplicationProfiles_HitListsX3_Get"`
* `"ADL2_OverdriveN_Temperature_Get"`
* `"ADL_Adapter_AdapterInfo_Get"`
* `"ADL_Adapter_NumberOfAdapters_Get"`
* `"ADL_Main_Control_Create"`
* `"ADL_Main_Control_Destroy"`
* `"ADL_Overdrive5_Temperature_Get"`
* `"ADL_Overdrive6_ThermalController_Caps"`
* `"ALL"`
* `"ALW"`
* `"AMD PCI"`
* `"ANIM"`
* `"ARRAY FILE REFERENCE"`
* `"ASSETPACKAGE"`
* `"ASTC_UNORM_SRGB"`
* `"AUTHENTICATOR"`
* `"AUTHENTICATOR_FORM"`
* `"Abbiamo rilevato l\'utilizzo di un\'applicazione di terze parti che viola il nostro Accordo di licenza. Overwatch verrà chiuso."`
* `"Accept-Language: %s"`
* `"Accept: application/json;charset=utf-8"`
* `"Accept: text/plain"`
* `"Accepted"`
* `"ActivatableVM"`
* `"Active"`
* `"Active GPUs:               %u\n"`
* `"Active Unlocks"`
* `"Active Unlocks for 0x%016llx"`
* `"Actual"`
* `"Address"`
* `"After Blur Opaque Decals"`
* `"After Blur Opaque Particle"`
* `"After Blur Opaque Ribbons"`
* `"After Blur Translucency"`
* `"After Post"`
* `"Age is out of bounds by %d seconds"`
* `"All Heroes"`
* `"All Unlocks for 0x%016llx"`
* `"Allied Spectate View"`
* `"Allocated_Memory"`
* `"Amount of memory committed by JeMalloc (active pages)"`
* `"Amount of memory requested from JeMalloc"`
* `"AnimGameData couldn\'t generate bind pose. Invalid bone count between dst pose and skeleton"`
* `"AnimGameData couldn\'t generate bind pose. NULL skeleton"`
* `"AnimGameData couldn\'t generate bind pose. no dst frames"`
* `"AnimatedView"`
* `"AnisotropicFiltering"`
* `"AppPlatform"`
* `"Application"`
* `"Application Platform:      %s\n"`
* `"Application:               %s/%s\n"`
* `"AreaIntersectionsUpdate"`
* `"Array"`
* `"Array of %d"`
* `"Assert after shutting down an app that failed to start up"`
* `"Assertion failed: %s  \"%s\""`
* `"Assets"`
* `"AsterionClient"`
* `"AsyncHttp"`
* `"AsyncHttp_Console"`
* `"Attempted operation at or past the EOF"`
* `"Authentication add lobby connection"`
* `"AuthenticationSystem"`
* `"Automatic"`
* `"Automation entity unavailable"`
* `"Avail"`
* `"Avail Page File:           %llu MBs\n"`
* `"Available Memory:          %llu MBs\n"`
* `"Available Tickets"`
* `"Avoid Spawn Blockers"`
* `"BLIZZSTRING"`
* `"BNetEnabled"`
* `"BNetSegKey"`
* `"BNetServer"`
* `"Background"`
* `"Background Opaque"`
* `"Bad Gateway"`
* `"Bad Request"`
* `"Bad Request Id"`
* `"Bad frame read"`
* `"Balancer"`
* `"Bank Data corrput! Sound: 0x%016llX"`
* `"BaseBoard"`
* `"Battle.net/Armadillo"`
* `"BattleTag: %s, ID: %s, Status: %s [%u], Leader: %s"`
* `"Battletag"`
* `"Beginning Final Swap."`
* `"Bios"`
* `"BitRate"`
* `"BlizzardInventorySystem"`
* `"Blizzardエンドユーザー使用許諾契約に反するサードパーティ製アプリケーションの使用が検出されました。「オーバーウォッチ」を終了します。"`
* `"BlockTransfer"`
* `"Bnet Account ID:           %d\n"`
* `"Bool"`
* `"BroadcastMarginBottom"`
* `"BroadcastMarginLeft"`
* `"BroadcastMarginRight"`
* `"BroadcastMarginTop"`
* `"Build:                     %s\n"`
* `"BuildNumber"`
* `"CAPTCHA_REQUIRED"`
* `"CHANNEL_FIELD_DISPLAY_NAME"`
* `"CHANNEL_FIELD_IS_ACTIVE"`
* `"CHANNEL_FIELD_IS_MUTED"`
* `"CHANNEL_FIELD_IS_STICKY"`
* `"CHANNEL_FIELD_IS_TRANSMITTING"`
* `"CHANNEL_FIELD_PTT"`
* `"CHANNEL_FIELD_VOLUME"`
* `"CHANNEL_JOIN"`
* `"CHANNEL_LEAVE"`
* `"CHANNEL_MODIFY"`
* `"CLIENT"`
* `"CLIENT_LOGIN"`
* `"CLIENT_LOGOUT"`
* `"CLIENT_SHUTDOWN"`
* `"CLIENT_STOP"`
* `"CN"`
* `"COMPOSITE"`
* `"CONNECTED"`
* `"CONOUT$"`
* `"CONTROLLER_CHORD_SHOULDERS"`
* `"CPU"`
* `"CPU Idle:%3d%%"`
* `"CPU Update Manager"`
* `"CPUFrequency"`
* `"CRASHMAIL"`
* `"CREATED_CONNECTOR"`
* `"CREATED_SESSIONGROUP"`
* `"CREATING"`
* `"CREATING_CONNECTOR"`
* `"CREATING_SESSIONGROUP"`
* `"CURSOR"`
* `"Canvas"`
* `"Changed"`
* `"Chat"`
* `"ChatAutoCompleteItemVM"`
* `"ChatEndorsementLevelIncreasedNotificationItemVM"`
* `"ChatEndorsementReceivedNotificationItemVM"`
* `"ChatHighlightNotificationItemVM"`
* `"ChatItemVM"`
* `"ChatLeaverNotificationItemVM"`
* `"ChatLostCompetitiveRankNotificationItemVM"`
* `"ChatNotificationItemVM"`
* `"ChatPlayerNameTokenVM"`
* `"ChatSilenceNotificationItemVM"`
* `"ChatTokenVM"`
* `"ChatVM"`
* `"Checked"`
* `"Children"`
* `"China"`
* `"Cinematics"`
* `"Clean"`
* `"Clearing lobby transition."`
* `"Client"`
* `"Client\'s data:\n"`
* `"Client/Server quanta mismatch."`
* `"Collapse"`
* `"Collapsed"`
* `"ColorBlind"`
* `"ColorblindMode"`
* `"ColorblindStrength"`
* `"Command History"`
* `"Command Line:           "`
* `"Composite draw margin."`
* `"Composite render target padding."`
* `"ComputeFogEnabled"`
* `"Computer"`
* `"Conflict"`
* `"ConnectToInstance"`
* `"Connection: keep-alive"`
* `"Console"`
* `"Console Opacity"`
* `"Console Unit Size"`
* `"Console window Close button."`
* `"Console##%llX"`
* `"ConsoleOpacity"`
* `"ConsoleSize"`
* `"ConsoleStartScreenVM"`
* `"Content-type: application/json;charset=utf-8"`
* `"Context"`
* `"Continue"`
* `"Cookie: JSESSIONID=%s; web.id=%s"`
* `"Corrections"`
* `"Could not capture error information because the CrashMailer is not running.\nLooking in: %s"`
* `"Couldn\'t load Sequence 0x%016llX."`
* `"Count"`
* `"Cpu"`
* `"Cpu Details"`
* `"CpuBiosOutdated"`
* `"CpuFamily"`
* `"CpuForceSyncEnabled"`
* `"CpuPciDriverDate"`
* `"CpuStepping"`
* `"CpuUpdateRevision"`
* `"CpuVendor"`
* `"Create Match: %s vs %s"`
* `"Create failure %s"`
* `"Created"`
* `"Created:                   %s %s\n"`
* `"Creating effect 0x%016llX failed: no appropriate effects scene found."`
* `"Currency"`
* `"Currency: %d"`
* `"Current"`
* `"Current Unlocks for 0x%016llx"`
* `"Current Week: %d"`
* `"Current Wins: %d"`
* `"Current stat events for this instance:"`
* `"Custom Game"`
* `"DBG"`
* `"DBG-OPTIONS<>\n"`
* `"DBG-OPTIONS<NoImage NoAddress NoFileLine NoFuncOffset NoDbgAddr>\n"`
* `"DEBUG"`
* `"DEVICE_FIELD_ACTIVE"`
* `"DEVICE_FIELD_AVAILABLE_LIST"`
* `"DEVICE_FIELD_IS_MUTED"`
* `"DEVICE_FIELD_POWER"`
* `"DEVICE_MIC"`
* `"DEVICE_SPEAKER"`
* `"DEV_"`
* `"DISCONNECTED_LOBBY_CONNECTED"`
* `"DISPLAYTEXT"`
* `"DONE"`
* `"DataFlow Buffer"`
* `"DataObject"`
* `"DataTemplateSelector"`
* `"Date"`
* `"Deadline"`
* `"Debug Spectator Camera"`
* `"Decay starts (s)"`
* `"December"`
* `"Decimal"`
* `"Default Monitor"`
* `"DefaultHero"`
* `"DeleteFile - %s"`
* `"Delta Experience Needed"`
* `"Demo"`
* `"Dependency 0x%016llX failed to load."`
* `"DeprecatedDialogVM"`
* `"Depth Prepass"`
* `"Desired"`
* `"Destroyed"`
* `"Destroying window."`
* `"Detailed FPS"`
* `"DetailsOverride\n"`
* `"Detectamos o uso de um aplicativo de terceiros que viola o nosso EULA.  Overwatch será encerrado agora."`
* `"Development"`
* `"Device Ext Refs Count:  %d\n"`
* `"Device-Id: %s"`
* `"DiffuseColor"`
* `"DirectionalShadowDetail"`
* `"Disable movement error correction for local players"`
* `"Disabled"`
* `"Discarding invalid pending tournament game."`
* `"Disconnected due to power save."`
* `"Disconnected from lobby server"`
* `"Disconnected from server."`
* `"Display %d"`
* `"Display CPU Idle Stats"`
* `"Display GPU Temp"`
* `"Display Mode:              %s\n"`
* `"DisplayArea"`
* `"Distance Constraint"`
* `"DolbyAtmosHDMI"`
* `"DolbyAtmosHeadphone"`
* `"DominoCollisionEffects"`
* `"DominoStep"`
* `"Double"`
* `"Draw SoundSystem Info"`
* `"Draw from the raster cache in individual calls."`
* `"Draw sound importance"`
* `"DrawDefaultShader"`
* `"DrawDefaultShaderClipSpace"`
* `"DrawDefaultShaderClipSpaceAdditive"`
* `"DrawDefaultShaderClipSpaceNoAlpha"`
* `"DrawDefaultShaderDomino"`
* `"DrawShaderDisplayAlphaClipSpace"`
* `"Dummy Job"`
* `"Duration"`
* `"EFFECT"`
* `"ERR"`
* `"ERROR"`
* `"EditionID"`
* `"Effect"`
* `"Effect Instance"`
* `"Effective Resolution:      %dx%d\n"`
* `"EffectiveHeight"`
* `"EffectiveWidth"`
* `"EffectsQuality"`
* `"Element Attribute"`
* `"Empty"`
* `"Enable UX outline rendering"`
* `"Enable camera update"`
* `"Enable combat outline rendering"`
* `"Enable debug drawing of normals."`
* `"Enable fuzz testing."`
* `"Enable/Disable limiting the client send rate."`
* `"Enable/Disable limiting the server send rate."`
* `"Enable/Disable the network diagnostic graph."`
* `"Enable/Disable the network diagnostic icons, indicating packet loss or client to server latency issues."`
* `"Enables clipping masks."`
* `"Enables compositing effects."`
* `"Enables culling draw calls outside of visible region."`
* `"Enables debug drawing of clipping masks."`
* `"Enables filled paths."`
* `"Enables stroked paths."`
* `"Enables subtitles (0 = off, 1 = on )"`
* `"Enables the raster cache."`
* `"Enables visualization of composite bounds."`
* `"Encoding failed."`
* `"End of Life"`
* `"Engine"`
* `"Entity"`
* `"Error"`
* `"ErrorLog"`
* `"Es wurde die Verwendung eines Drittanbieterprogramms festgestellt, das gegen die Endbenutzerlizenzvereinbarung verstößt. Overwatch wird beendet."`
* `"ExecuteDeferred"`
* `"Executed a successful async open"`
* `"Executed a successful async read"`
* `"Executed a successful async write"`
* `"Executing pending device commands."`
* `"Exited"`
* `"Exited render thread loop..."`
* `"Exiting with files still open:\n"`
* `"ExpandDown"`
* `"ExpandLeft"`
* `"ExpandRight"`
* `"ExpandUp"`
* `"Expanded"`
* `"Expect:"`
* `"Expectation Failed"`
* `"Ext"`
* `"External"`
* `"External_Source"`
* `"Extra Cpu Details"`
* `"FATAL"`
* `"FONT"`
* `"FOV Speed"`
* `"FOXTROT"`
* `"FPS"`
* `"Face Velocity View"`
* `"Fail"`
* `"Failed Cosmetic Entity; Entity 0x%016llX has components that require it to be server spawned"`
* `"Failed memory test in past"`
* `"Failed to add movement state."`
* `"Failed to allocate a needed storage struct"`
* `"Failed to build metadata."`
* `"Failed to connect to lobby. Please try again later."`
* `"Failed to create encoder."`
* `"Failed to create entity for placeable %d, 0x%016llX 0x%016llX 0x%016llX"`
* `"Failed to create new custom game link - exceeded link creation quota."`
* `"Failed to create new custom game link."`
* `"Failed to create recorder."`
* `"Failed to get WWise RTPC value"`
* `"Failed to load custom game link: %s"`
* `"Failed to load data package 0x%016llx due to load error %d"`
* `"Failed to load handle for hit volume override 0x%016llX"`
* `"Failed to load resource from package 0x%016llX due to load error %d"`
* `"Failed to load statescript graph %016llx"`
* `"Failed to open"`
* `"Failed to open requested replay stream %s: %s"`
* `"Failed to parse base path for %s"`
* `"Failed to read highlight %s: %s"`
* `"Failed to read reel header from stream: %s"`
* `"Failed to read reel header size from stream: %s"`
* `"Failed to register WWise Listener"`
* `"Failed to register WWise Object"`
* `"Failed to rename highlight title %s: %s"`
* `"Failed to request reel."`
* `"Failed to reset SoundStateGroup"`
* `"Failed to resolve address for battle.net"`
* `"Failed to set SoundState"`
* `"Failed to unregister WWise Listener"`
* `"Failed to unregister WWise Object"`
* `"Failed to update WWise"`
* `"Failed to update dynamic configuration on servers"`
* `"Failed to write data into CASC. Storage Error: %d"`
* `"Failed to write highlight %s: %s"`
* `"Fake Trans Opaque"`
* `"False"`
* `"File Reference"`
* `"File does not exist"`
* `"File exists"`
* `"File in exclusive use right now"`
* `"File is in non-exclusive use and exclusive use was requested"`
* `"File is in use and an exclusive operation was requested"`
* `"File is locked"`
* `"File size was 0 bytes"`
* `"File was not ready for this operation"`
* `"FileObjPool"`
* `"Filter redundant calls to Wwise and only set values if they are different (0 = off, 1 = reduce )"`
* `"Finalize job failed."`
* `"Finalizing Swap."`
* `"Finish Mod (object) %d"`
* `"First Person Spectate View"`
* `"First Person View"`
* `"FlushEntities"`
* `"Focused"`
* `"Fog Density Particles"`
* `"FogEnabled"`
* `"Font"`
* `"Font Vector"`
* `"Font Vector 3D"`
* `"For local player generate movement commands"`
* `"Forbidden"`
* `"Force camera input even if we don\'t have focus"`
* `"Force importance"`
* `"Force input mode 0-Global, 1-Game, 2-Spectate"`
* `"Force the client to hang for this many seconds"`
* `"ForceClientMode Activate"`
* `"ForceClientMode Deactivate"`
* `"ForceFMA3"`
* `"Forces updates to the raster cache every frame."`
* `"Foreground"`
* `"Forever"`
* `"Forward Lighting Buffer"`
* `"Found"`
* `"FrameRateCap"`
* `"Framerate"`
* `"FriendsSystem"`
* `"Full Screen"`
* `"FullReplaysPath"`
* `"FullScreenHeight"`
* `"FullScreenRefresh"`
* `"FullScreenWidth"`
* `"FullscreenWindow"`
* `"FullscreenWindowEnabled"`
* `"G"`
* `"GFSDK_Aftermath_Lib.dll"`
* `"GFXPresetLevel"`
* `"GPU"`
* `"GPU Allocated Memory:      %llu MBs\n"`
* `"GPU Core Delta Freq:       %d\n"`
* `"GPU Device ID"`
* `"GPU Driver Date:           %s\n"`
* `"GPU Driver Date:           [NONE]\n"`
* `"GPU Driver:                %s - %s\n"`
* `"GPU Driver:                [NONE] - [NONE]\n"`
* `"GPU Memory Delta Freq:     %d\n"`
* `"GPU Memory:                %llu MBs\n"`
* `"GPU Name"`
* `"GPU TEMP: %3d degC"`
* `"GPU Temp:                  %u C\n"`
* `"GPU Type:                  %s\n"`
* `"GPU Type:                  [NONE]\n"`
* `"GPU Vender ID"`
* `"GPU Voltage Delta Freq:    %d\n"`
* `"GPUDeviceID"`
* `"GPUName"`
* `"GPUScaler"`
* `"GPUVenderID"`
* `"GUID"`
* `"Game"`
* `"Game Account ID:           %d\n"`
* `"Game Server IP:            %d.%d.%d.%d\n"`
* `"GameService"`
* `"Gamepad camera inertia dampening"`
* `"Gamepad camera: Stick Power Factor for movement stick"`
* `"Gamepad camera: Trigger Power Factor for both triggers"`
* `"Gamepad: Enable aim assist"`
* `"Gamepad: enable gamepad debug draw"`
